,0
1741,lgals8-as1
1742,gadd45b
1743,sertad1
1744,adm
1745,tubb4b
1746,dnajb2
1747,rasl11a
1748,c11orf96
1749,fam72b
1750,fam72a
1751,rnf5
1752,ect2
1753,blm
1754,cdca2
1755,smc2
1756,nfatc2
1757,arl10
1758,grid2ip
1759,dlgap2
1760,atp2a3
1761,fhod1
1762,plekhm1
1763,araf
1764,elf4
1765,prr14
1766,gga3
1767,crtc2
1768,wash3p
1769,ino80b
1770,wash7p
1771,man1b1
1772,agap4
1773,clasrp
1774,bcrp3
1775,snrnp70
1776,nrxn3
1777,mrc1
1778,vwa2
1779,siglec15
1780,tiam2
1781,terf2
1782,npr1
1783,kcnq5
1784,fam114a1
1785,cep250
1786,ptprcap
1787,epb41l2
1788,bub1b
1789,odf2
1790,exoc4
1791,dnmt1
1792,clc
1793,rnase2
1794,epx
1795,elane
1796,tcn1
1797,nell2
1798,cd8a
1799,crtam
1800,gzmk
1801,s100b
1802,gzmh
1803,themis
1804,slc4a10
1805,cd24
1806,nbpf15
1807,tmem236
1808,mmp28
1809,gli1
1810,ankrd12
1811,mier1
1812,gcc2
1813,mbd4
1814,lrfn4
1815,rgpd1
1816,gimap5
1817,trappc2
1818,nt5dc2
1819,krba1
1820,gprin1
1821,irs1
1822,klhl25
1823,wasf1
1824,cdk18
1825,sema6c
1826,mgat5b
1827,fgfr1op2
1828,kif1c
1829,cdadc1
1830,ep300
1831,setd1a
1832,arid1a
1833,znf592
1834,asxl1
1835,polr2a
1836,srcap
1837,atxn2l
1838,pms2cl
1839,cherp
1840,nbpf10
1841,nbpf9
1842,gtf2ird2b
1843,gtf2i
1844,ppt2-egfl8
1845,foxo3
1846,zbtb10
1847,btbd3
1848,socs2
1849,ankrd39
1850,dctn4
1851,chst2
1852,mboat2
